game,rating,platform,genre,release
"""Aha! I Found It!"" Hidden Object Game",3,Nintendo Wii – WiiWare,Other,2009-11-30
"""Aha! I Got It!"" Escape Game",3,Nintendo Wii – WiiWare,Other,2009-10-02
#IDARB,3,Xbox One,Sports,2015-02-01
#KILLALLZOMBIES,16,PlayStation 4,Action,2014-09-11
#KILLALLZOMBIES,16,Xbox One,Action,2016-04-25
'Splosion Man,7,XBox 360,Other,2009-08-12
(T)Raumschiff Surprise – Periode 1,3,PC,Adventure,2004-07-22
* B 17,7,PC,Simulation,2004-01-30
* Divine Divinity,7,PC,RPG,2004-04-02
* Egypt 1156 B.C.,3,PC,Adventure,2004-10-10
* Enemy Engaged Apache Havoc,12,PC,Strategy,2004-06-11
* Enter The Matrix PS2,16,Playstation 2,Adventure,2004-02-27
* Enter The Matrix Xbox,16,XBox,Adventure,2004-02-27
* Freedom Force,12,PC,Action,2004-02-01
* James Bond 007: Nightfire,12,PC,Action,2004-09-12
* NBA Live 2003,3,GameCube,Sports,2003-02-06
* NBA Live 2003,3,PC,Sports,2003-02-06
* NBA Live 2003,3,Playstation 2,Sports,2003-02-06
* NBA Live 2003,3,XBox,Sports,2003-02-06
* NHL 2003,3,GameCube,Sports,2004-02-06
* NHL 2003,3,PC,Sports,2004-02-06
* NHL 2003,3,Playstation 2,Sports,2003-02-06
* NHL 2003,3,XBox,Sports,2003-02-06
* WAR COMMANDER,12,PC,Strategy,2004-06-11
*ALIEN V'S PREDATOR,16,PC,Adventure,2004-09-17
*Aladdin,3,Playstation 1,Action,
*Apache Havoc,12,PC,Strategy,2003-11-30
*Big Mutha Truckers,7,Playstation 2,Racing,2003-12-19
*Black and White (Classic),12,PC,Strategy,2004-06-25
*Boards and Blades 2,7,PC,Sports,2004-07-23
*Bugs Life Activity Centre,3,Playstation 1,Racing,
*Championship Manager 4,3,PC,Sports,2003-03-01
*Championship Manager: Season 01/02,3,PC,Sports,2003-09-26
*Comanche 4,16,PC,Action,2001-12-01
*Combat Mission,12,PC,Strategy,2004-02-13
*Commandos 2: Men of Courage,12,Playstation 2,Strategy,2003-09-26
*Cossacks European Wars,12,PC,Strategy,2004-02-13
*Crazy Taxi,3,PC,Racing,
*Creator Harry Potter and The Chamber of Secrets,3,PC,Adventure,2003-09-19
*Cricket 2002,3,PC,Sports,2003-09-19
*Delta Force 1,16,PC,Action,1999-02-04
